"","n","age","income","yrs_school","gender_f","home_own","risk6"
"14523",17920,38,1797,3.6,1,0,736
"17454",21415,56,2,0.3,0,1,725
"12074",15388,64,1038,1.7,1,1,811
"49061",63471,50,1286,1.2,0,0,762
"40620",54112,47,264,2.6,0,0,782
"34833",46586,59,777,1.5,0,1,801
"38241",51561,63,273,1.5,0,0,780
"20531",26803,47,1028,2.5,0,1,758
"17409",21350,59,777,2.1,0,0,687
"31637",42054,56,1031,1.7,0,0,796
"37115",50361,31,20,0,0,0,997
"21123",27587,58,1035,2.6,1,0,788
"40750",54251,55,2575,1.9,0,1,789
"30664",40977,41,1032,1.1,0,0,750
"43325",57062,47,771,1.5,0,1,716
"37659",50939,53,778,2.1,0,1,817
"33856",44692,32,1544,3.1,1,1,782
"18942",23417,45,2069,1.5,1,0,779
"11309",14599,42,1034,1.8,0,1,788
"16618",20143,52,523,0,1,0,809
"44317",58156,52,520,2.6,1,0,793
"46055",59991,43,257,0.5,1,0,747
"26880",34110,40,524,1.6,1,1,765
"45105",58987,49,1548,2.3,0,0,735
"25981",33091,33,772,1.3,0,0,757
"36831",50062,57,4,0.4,1,1,803
"28161",36332,44,778,2.4,0,1,634
"3843",4224,65,516,0.9,0,1,807
"26107",33231,51,8,2.1,1,0,726
"54687",70010,47,775,1.4,0,0,810
"52799",67893,53,775,2.8,0,0,799
"43527",57291,35,2,0.7,0,0,766
"41608",55173,109,1030,0.8,0,1,654
"47614",61863,55,4,0.7,0,0,772
"47755",62025,59,1803,4.6,1,0,688
"14568",17967,62,2056,1.5,0,1,736
"17575",21578,37,1028,1.5,0,0,667
"51608",66543,45,1801,3.5,0,0,750
"26582",33766,35,0,0,1,1,789
"37898",51190,46,0,0,0,0,787
"22819",29640,43,516,2.6,1,0,732
"33053",43689,48,521,1.9,0,1,791
"413",453,58,278,1.7,0,0,716
"10787",14063,44,1286,1.3,1,0,768
"48313",62652,37,4,1.2,0,1,820
"30660",40973,58,3,0.2,0,0,771
"42642",56273,37,267,1.3,0,0,768
"9005",12216,47,20,0,0,1,731
"14779",18188,60,1037,2,0,1,826
"26025",33141,38,3095,1.6,1,0,807
"14838",18252,51,2052,2.3,1,1,593
"44049",57877,63,2563,1,1,1,768
"6614",9012,36,2058,2.1,0,0,769
"53667",68873,54,796,1.2,1,0,709
"6804",9608,50,1031,1,0,1,796
"52498",67550,47,2062,0.6,1,1,796
"618",667,33,9,0.5,0,0,645
"47931",62229,45,1289,3.1,0,0,696
"31612",42026,53,258,1.2,1,0,703
"539",585,36,520,2.3,0,0,809
"32360",42911,64,774,1.9,0,1,781
"30542",40848,42,263,1.5,1,0,697
"3635",3997,55,262,1.3,0,1,767
"52760",67848,33,2057,2.2,0,0,785
"15617",19068,33,781,2.3,0,0,626
"19444",24793,35,519,1.7,1,0,612
"46261",60224,61,769,1,0,0,759
"2219",2356,38,1025,1.8,0,0,794
"2294",2434,33,0,0,0,0,688
"18812",23162,64,261,0.7,0,0,805
"54827",70162,40,1543,2,0,0,770
"32378",42930,48,778,2.4,0,1,629
"42160",55754,44,1029,2.6,0,0,698
"7841",10977,45,3342,0.9,0,1,717
"14785",18195,48,260,0.5,1,1,771
"24328",31241,62,517,1.1,1,0,699
"25525",32566,64,787,1.4,0,0,782
"40967",54486,48,1041,1.7,1,1,811
"10711",13987,41,777,2,0,0,750
"27536",35499,33,3850,1.9,0,0,718
"54906",70251,46,775,1.6,0,1,803
"12665",15994,58,525,0.8,0,0,776
"20247",26483,51,3591,1.3,0,1,682
"51520",66449,62,18,1.7,0,0,736
"1169",1250,51,1035,1.9,0,1,806
"31760",42193,58,514,0.7,0,0,808
"22523",29330,40,1287,1.5,1,0,785
"29913",38978,43,1029,2.8,0,0,745
"13719",17086,57,774,2,0,1,718
"49996",64612,56,1552,1,0,0,806
"50546",65219,44,1033,1,0,0,805
"18545",22829,65,264,1.5,1,1,675
"13826",17196,49,770,0.7,0,0,791
"19471",24853,38,1809,0.6,0,0,758
"51634",66570,52,1285,1.8,1,0,727
"15738",19199,42,1029,0.8,1,0,765
"6636",9092,51,515,1.9,0,1,686
"9002",12212,52,1286,2.5,1,0,685
"37884",51175,62,2063,1.9,0,0,757
"29565",37881,53,785,1.6,0,1,766
"5419",5918,40,778,1.2,0,0,772
"44738",58601,52,1545,1.2,0,1,617
"54662",69982,60,778,1.3,0,0,683
"32733",43338,27,2564,2.2,1,1,639
"12613",15941,59,262,1.7,0,1,728
"21139",27622,59,775,0,0,1,605
"1841",1958,32,1538,0.7,0,0,776
"42342",55949,49,1291,0.9,0,1,666
"21153",27678,42,3082,3.2,0,0,745
"41161",54692,43,525,1.8,0,1,671
"25518",32558,63,1033,2.8,0,1,812
"37054",50298,39,269,3.8,1,1,684
"40270",53737,39,1282,0.9,1,0,707
"32015",42494,41,2053,1.8,0,0,776
"10587",13860,40,1803,1.9,1,0,784
"38380",51708,40,1291,0.9,0,0,621
"10873",14151,44,0,0,0,0,753
"46564",60575,41,258,0.7,0,1,762
"55120",70481,50,1030,0.2,1,0,715
"44249",58083,34,265,1.8,1,1,675
"22982",29815,46,1554,1.4,0,0,744
"3824",4204,32,777,2.4,1,0,746
"49123",63537,56,259,0.6,0,1,789
"8191",11356,41,9,2.9,1,0,789
"28669",36880,43,779,2.1,1,1,798
"10858",14136,27,2326,1,1,0,707
"17789",21933,38,1289,2.4,0,0,641
"45422",59320,50,1031,1.4,1,1,770
"53260",68420,54,265,1.3,0,1,789
"54024",69271,60,1293,2,0,0,775
"49671",64147,105,516,2.2,1,1,672
"29219",37459,52,10,1.6,1,0,802
"31",35,56,520,1.5,0,0,762
"46320",60289,46,1035,2.4,0,0,803
"53491",68682,61,16,1.1,0,0,666
"45195",59082,29,514,0.4,0,0,717
"7602",10709,63,1547,1.4,0,0,702
"44570",58425,58,1286,2.7,0,0,768
"54850",70187,52,776,1.4,0,0,793
"4630",5075,34,16,1.3,0,0,766
"46103",60041,52,1550,0.3,1,1,712
"3256",3561,44,0,0,0,0,736
"51716",66662,55,1551,2.3,1,1,790
"24078",30979,38,1798,1.6,0,1,712
"5253",5738,62,6,2.2,1,0,738
"11693",14990,51,777,1.6,1,0,776
"33127",43770,52,774,2.4,0,0,822
"22425",29227,37,1292,1.9,1,1,766
"5421",5920,54,1544,1.4,0,1,809
"26010",33123,54,522,0.8,1,0,727
"11281",14571,42,19,0,1,0,581
"50614",65296,38,778,2,1,0,779
"53567",68767,64,517,0.6,0,1,708
"23959",30853,64,785,1.4,0,1,801
"2458",2607,39,517,2.2,1,0,778
"44621",58478,65,1539,1.7,1,1,549
"1677",1788,32,2821,3.2,0,1,786
"19904",26105,39,1289,1.8,0,0,715
"45187",59074,56,525,1.6,1,1,799
"53658",68862,46,516,1.9,0,1,733
"48566",62919,46,1036,1.9,0,1,747
"54508",69808,53,1292,1.1,0,1,790
"18038",22286,37,2054,1.7,1,1,562
"6020",6818,52,1294,1.6,0,0,825
"18189",22446,43,2832,0.4,1,0,668
"25318",32329,42,1031,2,1,0,810
"13461",16818,55,779,1.8,0,1,766
"38582",51921,51,773,0.5,1,0,734
"34837",46590,27,780,2.6,0,1,794
"1064",1137,39,778,2,0,1,719
"13209",16549,59,523,0.3,1,0,752
"42967",56626,45,776,2.7,1,0,769
"53385",68560,51,261,0.5,0,1,826
"27835",35983,55,262,0.8,0,0,707
"46594",60641,46,519,0.9,0,0,659
"1208",1293,65,1290,0.3,1,1,654
"32213",42733,47,1549,2.6,1,0,728
"53421",68602,60,1290,1.1,1,0,775
"24175",31079,44,514,0.5,0,0,600
"9941",13191,49,775,1.7,1,0,747
"43815",57618,54,519,2,0,1,617
"38306",51630,60,1031,1.4,0,1,807
"3994",4382,44,1291,3.7,0,0,731
"7895",11037,58,1035,1.6,1,1,724
"22175",28959,47,259,1.8,0,0,715
"2103",2231,29,2588,1.1,0,0,781
"45112",58994,51,774,1.4,1,1,684
"20927",27257,41,1042,3.5,0,1,766
"52669",67744,59,2570,2.2,1,0,838
"54069",69317,170,2055,1.8,0,0,801
"24592",31534,46,3083,1.7,0,0,802
"6346",8040,52,1547,1.7,0,0,794
"51380",66196,49,6,0.7,0,0,664
"49604",64074,150,1032,1.9,0,0,763
"2902",3072,52,776,1.7,1,1,766
"24768",31724,52,521,1.5,1,0,765
"23942",30834,57,262,0.5,0,1,766
"20008",26215,54,263,1,0,0,724
"47947",62248,32,1549,2.1,0,0,775
"14449",17838,62,1039,0,0,1,832
"49419",63865,111,781,2,0,0,645
"27461",35322,57,260,1.6,1,0,772
"52497",67549,61,2052,2,1,1,765
"25319",32330,65,1286,1.7,1,1,833
"41127",54657,40,1547,0.5,0,1,704
"5608",6125,54,514,0.6,1,0,751
"40393",53869,62,514,1.9,0,0,779
"37281",50539,40,1027,2.1,1,1,727
"3706",4075,41,521,1.5,1,0,574
"23031",29866,132,1287,1.6,0,1,775
"52999",68123,32,1804,2.4,0,1,798
"46834",60959,51,1547,1.7,0,1,780
"4923",5392,58,264,2.2,1,0,790
"10324",13587,57,517,1.8,0,1,708
"11397",14688,62,3,0.5,1,1,808
"34270",45235,61,516,1,1,0,762
"18596",22890,46,266,2.1,0,1,774
"38603",51944,36,776,1.3,0,0,489
"13268",16610,39,1809,2.4,1,0,788
"29456",37725,47,1545,2.3,0,1,730
"46970",61115,54,264,2.2,0,0,787
"36200",49390,41,789,2.6,0,0,733
"11212",14501,38,0,0,1,0,685
"16674",20203,49,777,1.9,0,0,800
"41724",55296,38,527,2.9,0,0,769
"9202",12423,37,0,0,0,1,634
"38325",51649,57,774,2.4,0,1,728
"6325",7974,64,776,2.1,0,0,831
"23373",30229,34,1802,1.2,0,0,770
"17089",20983,46,2570,2.3,0,0,785
"41524",55083,36,1300,0.4,0,0,795
"24743",31698,64,263,2.8,0,1,781
"28195",36368,49,520,3.9,0,1,729
"34239",45195,43,276,1.5,1,1,775
"47929",62227,39,784,2.3,1,1,715
"25271",32276,29,1030,2.4,1,1,796
"242",265,137,1040,2.7,0,0,739
"7085",10142,59,15,1.7,0,1,781
"47176",61359,51,521,1.6,0,1,682
"49692",64174,36,1801,2.3,0,0,802
"40277",53745,49,1032,1.5,0,1,818
"1502",1604,27,13,1.2,0,0,748
"20752",27039,50,779,2.1,0,1,738
"79",87,59,516,2,0,1,762
"9744",12989,37,3,0.3,0,1,660
"39265",52654,63,1288,1.4,1,0,729
"34707",46270,54,270,3.6,0,0,740
"4528",4958,43,1284,1.7,0,1,766
"16384",19881,45,0,0,0,0,607
"4705",5154,35,1293,2.4,1,1,668
"32198",42713,189,2827,1.3,1,0,772
"13383",16736,38,1289,0.5,0,0,813
"15524",18967,58,1287,2.3,0,0,787
"31701",42128,51,780,2.2,0,1,675
"9469",12702,40,2825,1.5,0,0,769
"27099",34364,51,775,1.8,1,1,772
"42945",56600,41,275,2.4,1,0,817
"53438",68624,42,1033,1.2,1,0,766
"53069",68205,54,1034,0.6,0,0,769
"16474",19987,38,775,1.6,1,1,783
"26770",33980,60,1285,1.4,0,1,804
"53142",68286,31,0,0,0,0,669
"53856",69085,46,262,1.1,0,1,745
"43008",56675,47,269,1.4,0,1,788
"30326",40200,26,1032,4.1,1,0,730
"1234",1321,47,1804,1.1,0,1,786
"35667",48424,28,0,0,0,1,776
"32172",42684,64,8,2.3,0,0,777
"26794",34010,46,779,1.7,0,1,804
"18436",22711,52,522,3.2,0,0,705
"17030",20839,53,544,0.8,0,1,788
"24039",30937,53,266,1.9,0,0,693
"3088",3269,49,263,0.5,1,1,686
"31408",41804,65,522,0.8,0,1,727
"43876",57685,52,775,2.1,1,0,515
"45678",59587,42,266,3.1,0,0,671
"9143",12359,29,787,1.9,0,0,731
"8278",11449,63,518,1.4,0,1,738
"36924",50162,52,1545,1.4,0,0,540
"20454",26715,42,1799,2,0,0,662
"4982",5455,30,2070,3.4,0,0,757
"3518",3871,38,773,2.2,0,0,758
"48231",62562,41,1295,1.2,0,1,687
"50725",65422,43,261,0.6,1,0,634
"47369",61579,63,1544,2.6,1,0,674
"37607",50885,60,269,0.9,1,0,741
"43193",56901,37,3338,1,0,1,739
"6386",8178,48,523,2.6,0,1,668
"48388",62733,42,2571,2,1,0,748
"7875",11014,54,0,0,0,0,736
"17260",21175,45,1805,1.5,0,0,702
"602",651,52,528,1.8,1,0,727
"8540",11731,63,1031,2.1,0,0,796
"47735",62003,50,1034,1.3,1,0,713
"46994",61141,48,516,1,1,0,791
"28663",36874,33,264,1.8,0,0,692
"7892",11033,55,260,0.4,0,1,781
"2785",2951,27,522,2,0,0,735
"30801",41120,98,2058,2,0,1,804
"17792",21937,40,267,2.2,1,0,638
"7502",10601,34,11,1.4,0,0,629
"36029",49021,58,529,2,1,0,769
"11151",14438,43,773,1.1,0,1,607
"34672",46156,45,3328,0,0,0,815
"44264",58099,40,1549,2.1,0,1,702
"45553",59458,46,519,2.3,0,1,698
"41528",55087,214,1800,0.5,1,0,759
"9760",13006,48,521,2,1,1,816
"19564",25128,31,515,0.5,0,1,645
"14640",18041,44,1543,1,1,1,728
"49721",64206,246,30,0,0,1,815
"35930",48741,49,2319,1.6,0,1,640
"49887",64393,55,10,1.9,1,1,598
"25038",32015,55,772,1.7,0,1,744
"52436",67474,59,2565,1.9,0,0,802
"35672",48429,62,267,1.2,1,1,748
"38360",51685,55,0,0,0,1,773
"33612",44349,0,0,0,0,0,529
"4692",5141,48,1288,0.9,1,0,695
"3430",3774,32,1287,2.1,0,1,753
"37880",51171,50,1285,1.4,0,0,762
"34936",46875,34,1288,0.5,1,0,723
"20997",27349,45,2323,0.4,0,0,763
"2756",2920,38,775,2.2,1,1,737
"44981",58855,43,0,0,0,0,786
"36466",49677,37,3593,1,1,1,774
"51585",66520,47,520,1.6,0,1,760
"13406",16760,26,1295,1,0,0,661
"39200",52584,51,268,2.2,0,0,812
"10423",13691,43,519,1.3,0,1,694
"1557",1662,30,773,1.2,0,1,707
"32224",42745,50,1030,1.4,0,0,822
"27446",35262,41,774,1.7,0,1,773
"10629",13903,37,2055,2.6,1,1,768
"22458",29262,56,259,1.3,0,1,754
"19980",26186,37,1037,2.4,0,1,834
"10239",13499,62,1283,1.8,0,1,794
"2890",3060,47,777,1.8,0,0,734
"4025",4417,30,2310,0,1,1,737
"27995",36157,42,1546,1.3,0,0,759
"29551",37863,64,2050,0.5,1,0,681
"9194",12415,53,2,1.5,0,0,692
"37434",50698,56,0,0,0,1,804
"7672",10781,31,3095,1.5,1,1,624
"31444",41842,59,1054,0.2,1,1,769
"3025",3203,62,1031,3.7,0,1,808
"17699",21753,51,524,1.5,0,1,826
"42276",55877,45,1032,1.5,0,1,997
"459",501,61,1029,3,1,1,803
"27544",35515,26,1549,1.9,0,0,756
"46769",60890,43,19,2.9,0,0,699
"41217",54754,121,521,3,0,1,795
"49766",64256,0,782,0.3,0,0,619
"10067",13323,52,10,1.9,0,0,812
"28475",36673,44,0,0,0,1,706
"14700",18106,35,772,0.3,1,0,719
"26305",33451,34,7,0,1,0,714
"54533",69838,56,5,1.8,0,1,625
"25735",32809,29,3085,0.4,1,1,803
"7146",10206,45,777,3.2,0,1,753
"39036",52405,49,9,1.8,0,0,668
"31412",41808,48,1030,2.5,1,0,700
"19412",24711,38,1287,2.2,1,0,753
"28957",37188,51,261,2.2,0,1,590
"22400",29201,49,258,1,1,1,628
"33327",44001,29,1805,1.6,1,0,803
"50845",65558,26,265,1.5,0,0,675
"55022",70376,45,258,0.9,0,1,717
"18347",22614,45,521,0.6,1,0,657
"52097",67088,44,1812,1.5,0,0,671
"25950",33053,43,517,1.4,0,0,615
"20932",27264,60,781,1.7,0,1,687
"29938",39062,29,267,2.2,0,0,778
"36499",49713,50,517,2.1,0,1,534
"35714",48475,30,772,0.8,1,0,711
"8556",11748,53,779,2.7,1,0,786
"36027",49015,40,3,0.3,1,0,682
"36785",50014,32,2059,1.7,0,0,774
"29429",37693,29,2821,1.9,1,1,690
"47287",61485,42,782,1.2,0,1,675
"34267",45232,46,1800,0.7,1,0,823
"54813",70145,65,2056,1.8,0,0,740
"863",925,39,1547,1.5,1,0,780
"54341",69620,48,776,0.9,1,0,626
"35461",48176,36,775,0.8,1,0,669
"18162",22417,39,1546,2.6,1,1,713
"15991",19459,34,2823,1.6,0,1,639
"47037",61191,47,257,2.1,1,0,768
"11366",14657,27,267,0.4,1,0,776
"24308",31219,28,2577,2.7,0,1,690
"46865",60993,59,525,2.9,0,1,793
"8924",12132,41,1033,1.9,1,0,797
"36943",50182,45,260,2.1,1,1,740
"52606",67671,46,775,2,0,1,745
"41336",54877,39,2319,1.8,0,1,763
"1970",2090,29,3,1.4,1,0,788
"23351",30205,49,266,2.2,0,1,683
"11294",14584,31,4873,0.4,1,0,743
"27183",34485,45,1542,1.8,0,0,730
"17862",22048,40,3079,1.5,0,1,799
"1930",2050,35,1027,1,1,1,775
"31560",41970,47,267,1.2,0,1,777
"5189",5671,51,0,0,0,0,768
"8499",11685,44,1031,0.9,1,1,571
"49751",64241,43,0,0,0,1,757
"41049",54574,37,260,1.1,0,0,741
"13131",16470,54,2057,2.7,0,0,771
"47824",62105,40,2820,1.9,1,0,694
"48908",63294,50,752,0,0,0,839
"34805",46514,44,1545,1.8,0,0,782
"43410",57157,35,776,2.9,1,1,716
"54316",69593,51,521,2.2,0,1,515
"25717",32788,56,521,1,0,0,747
"16048",19519,44,1029,1,1,0,816
"37376",50636,40,1295,2.2,0,1,759
"12664",15993,48,2826,2,1,0,752
"20601",26878,40,262,2.1,0,0,769
"3814",4194,32,780,0.9,0,1,738
"37361",50621,42,1802,2,1,1,565
"37129",50376,59,2313,0.7,0,1,658
"53870",69101,50,774,1.1,0,0,789
"37322",50581,45,1031,2.7,0,1,635
"49446",63894,42,777,1.6,1,0,743
"18927",23388,52,518,1.8,1,1,724
"17057",20902,34,265,3.6,0,0,649
"26645",33834,49,269,1.4,1,1,790
"26663",33857,50,3343,1.1,0,1,823
"41302",54842,60,2826,2.6,1,0,770
"9124",12339,34,1028,2.4,0,0,751
"39380",52790,53,260,1.5,1,0,772
"24445",31370,39,1288,1.4,0,1,722
"13794",17164,31,1288,1.1,1,0,796
"13620",16983,37,3598,1.1,0,0,797
"15864",19327,52,1539,0.6,0,1,778
"4760",5215,41,772,1.9,1,0,773
"18858",23243,33,267,1.2,0,1,782
"26413",33574,62,0,0,0,1,806
"54716",70042,63,261,0.9,0,0,797
"26113",33238,42,1036,1.9,0,1,791
"41730",55302,56,1290,2.2,0,1,807
"13828",17198,52,1546,2.3,0,1,806
"8867",12074,37,1296,1.5,1,0,791
"51818",66774,39,1287,0.7,1,1,774
"39063",52439,44,525,1.8,0,1,741
"36492",49705,39,515,0.5,1,1,771
"50346",65010,50,777,0.6,0,1,655
"12819",16152,43,7,0.8,0,0,782
"7210",10277,64,2054,1.9,0,1,826
"25320",32331,49,263,1.5,1,0,631
"47189",61374,30,1035,1.6,1,1,753
"10356",13621,56,518,1.4,0,1,813
"35644",48394,63,775,1.3,0,0,783
"33385",44073,49,1039,0.8,0,0,779
"53474",68664,42,1542,1.7,0,1,811
"52718",67801,50,0,0,1,1,810
"34319",45288,31,1285,1.3,1,1,749
"2655",2813,26,1284,0.4,1,0,790
"14850",18264,48,1813,1.4,0,0,798
"34905",46805,57,1541,1.2,1,1,766
"18236",22499,31,259,0.9,0,0,647
"38697",52047,35,774,2.2,1,0,687
"2834",3004,50,1282,1,0,1,788
"46246",60207,50,772,0.3,1,0,574
"20447",26707,45,514,1.8,0,1,739
"21140",27625,61,519,2.6,1,0,757
"28938",37168,48,14,1,0,1,793
"18351",22618,31,771,0.8,1,0,645
"2769",2934,44,0,0,0,1,764
"47780",62052,49,268,3.7,1,1,717
"33573",44299,45,1027,1.2,0,0,633
"76",84,44,1284,1.1,0,1,791
"16066",19538,45,0,0,1,0,753
"37968",51264,64,1028,0.4,0,1,744
"40419",53900,33,1544,1.2,1,0,766
"9618",12857,61,1542,1.4,0,0,813
"4307",4718,35,770,0.6,0,1,778
"47658",61914,49,2580,3.4,0,0,799
"37220",50475,50,771,0,0,0,699
"36458",49669,48,778,0.9,1,0,813
"40956",54475,45,2566,2.6,0,0,686
"25780",32861,44,0,0,0,0,770
"49685",64165,157,1551,1.3,0,0,708
"18127",22380,31,1802,3.1,1,0,589
"36111",49237,50,16,0.9,0,0,809
"33852",44688,42,770,0.3,0,0,742
"34598",45947,58,780,0.4,0,0,798
"19932",26134,42,523,2.6,1,0,758
"48198",62525,53,2,0.9,0,1,719
"37408",50670,43,527,1.7,1,1,732
"31954",42419,39,2059,1.6,0,1,802
"36494",49708,55,1035,2.2,0,1,651
"8965",12174,61,260,1.1,0,0,668
"6542",8766,31,519,0.2,1,1,699
"24047",30946,42,259,1.1,0,0,786
"15559",19005,44,519,0.7,0,1,667
"7067",10123,40,260,1.1,1,1,703
"16758",20298,54,1288,1.7,0,0,679
"2230",2367,32,264,1.1,0,1,677
"22191",28975,56,0,0,0,0,679
"23461",30319,44,4362,0,0,1,730
"25266",32271,31,1546,1.8,0,0,809
"32260",42784,45,8,0.3,1,0,669
"42161",55755,52,517,0.5,1,1,773
"21049",27414,59,3,2.4,0,1,802
"40576",54065,63,1029,1.4,0,0,740
"11191",14480,45,776,1.1,1,1,784
"49140",63557,78,1030,2.9,0,0,800
"35155",47492,55,12,1.2,0,1,777
"30007",39286,49,2308,2.8,0,1,758
"16360",19855,44,265,3.2,0,0,737
"42732",56372,45,1290,2,0,0,774
"39271",52662,54,517,2.1,0,1,687
"318",349,168,515,1.7,0,1,728
"1631",1739,27,778,2.7,0,1,770
"31258",41634,42,1545,1.4,1,1,786
"53540",68736,46,6,0.6,0,0,795
"32131",42637,35,1285,1,0,0,677
"10425",13693,48,4,1,0,1,780
"28699",36911,26,4108,1.1,0,0,696
"19638",25413,48,1546,2.3,1,1,752
"38491",51828,40,529,1.9,0,0,794
"11761",15059,42,1036,1.9,1,0,786
"12079",15394,39,265,3,1,0,795
"40328",53799,57,264,2.6,0,1,667
"54122",69373,65,521,1.3,0,0,783
"40250",53713,65,1037,1.7,0,1,719
"23305",30156,32,4620,1.2,0,1,799
"4978",5451,58,1032,0.6,0,1,752
"12364",15686,55,1797,1.4,1,1,789
"15430",18868,52,522,3.7,0,0,761
"44568",58423,60,776,0.7,0,1,676
"24800",31759,38,1029,0.4,0,1,549
"52697",67776,43,3,0.5,0,0,766
"30630",40939,62,4107,0.9,1,0,646
"15581",19029,27,1293,1.7,0,0,732
"15152",18578,27,516,0.1,0,1,777
"32679",43273,64,2314,1.1,0,0,637
"49822",64318,90,1802,1.2,0,0,699
"10574",13846,50,0,0,1,0,730
"47983",62291,32,259,1.2,0,0,657
"20533",26805,34,774,1.8,1,1,593
"22096",28876,74,523,2.5,1,0,699
"38161",51476,55,514,0.8,0,0,804
"6524",8702,48,777,3.1,1,0,771
"28621",36830,52,1300,1.3,0,1,781
"19737",25735,37,263,0.6,0,1,744
"52608",67673,35,1803,3.8,1,0,779
"25083",32063,45,3,0.3,0,0,687
"33941",44828,50,782,2.1,1,1,668
"55133",70497,43,1796,1,0,0,804
"32760",43368,63,2065,2.5,1,1,802
"49541",64001,59,520,1.7,0,1,997
"29085",37320,56,775,1.1,0,0,743
"17754",21856,52,10,0.9,1,0,764
"48355",62699,46,2318,1.4,0,0,736
"7650",10759,49,1030,1.6,0,0,780
"52452",67491,64,1282,2,0,0,806
"47634",61885,37,521,2.5,1,0,686
"7804",10937,44,0,0,0,0,748
"49139",63556,125,779,1.8,1,1,781
"12475",15799,49,518,2.6,0,1,816
"9039",12250,58,12,2.4,1,0,749
"30430",40549,59,515,2.6,0,0,610
"4308",4720,64,0,0,1,1,672
"26027",33143,53,783,3.9,0,1,796
"47663",61921,50,775,1.3,1,0,793
"54439",69733,57,261,1.1,1,0,689
"7362",10438,38,1287,1.8,0,0,548
"53486",68677,33,260,1.9,0,0,741
"3175",3389,57,519,2,1,1,792
"27562",35568,45,520,2.6,0,0,763
"759",816,69,1288,1.7,1,1,768
"50315",64979,60,0,0,1,1,770
"53366",68540,29,3341,2.1,0,0,791
"13186",16526,47,1544,1.4,0,1,713
"28762",36976,30,2312,2,0,1,728
"15149",18575,45,524,1.8,0,0,762
"36594",49813,37,3859,0.5,0,0,735
"28504",36705,40,1036,2.5,0,1,770
"39232",52621,49,2062,1.2,0,1,808
"14633",18033,54,1808,1.4,1,1,710
"27606",35688,35,2316,3.9,0,1,753
"25009",31982,60,3,0,0,1,809
"12574",15899,27,1300,1.1,1,1,772
"890",954,60,1287,3.6,1,0,812
"28445",36642,61,1288,2,0,1,792
"917",985,40,787,2,1,0,809
"27503",35423,63,3,1.2,1,0,755
"14437",17826,61,776,3.9,0,1,765
"45656",59565,58,512,1.2,1,0,666
"27228",34591,48,0,0,0,0,695
